contract_id,vendor_id,vendor_name,category,contract_start_date,contract_end_date,negotiated_rate,payment_terms,is_active_contract,expiration_status,contract_duration_years,total_estimated_savings,pos_on_contract,spend_on_contract,realized_savings,savings_realization_rate,savings_gap,realization_tier
C00011,V00395,"Ponce, Downs and Contreras",Professional Services,2022-03-03,2026-03-02,0.09,Net 45,False,Expired,4.0,295759.52,12,302241.95,29892.06101890305,0.101068804206,265867.458981097,Significant Shortfall
C00012,V00378,Glass-Stone,Raw Materials,2023-06-26,2026-06-25,0.062,Net 45,False,Expired,3.0,247136.67,6,60280.2,3984.4055422962,0.016122275753,243152.2644577038,Significant Shortfall
C00013,V00378,Glass-Stone,Raw Materials,2023-02-11,2025-02-10,0.219,Net 30,False,Expired,2.0,863456.08,4,66824.97,18738.37186178307,0.021701592352,844717.708138217,Significant Shortfall
C00014,V00378,Glass-Stone,Raw Materials,2023-09-05,2026-09-04,0.191,Net 30,False,Expired,3.0,1003345.14,4,88327.77,20853.65149569711,0.020784125686,982491.4885043029,Significant Shortfall
C00015,V00125,Bender LLC,Raw Materials,2024-03-05,2027-03-05,0.077,Net 15,True,Active,3.0,261530.7,13,138629.62,11564.98460099478,0.044220371073,249965.71539900522,Significant Shortfall
C00016,V00069,Kim PLC,Raw Materials,2022-08-11,2025-08-10,0.18,Net 60,False,Expired,3.0,286077.93,7,65244.33,14321.92608960435,0.05006302335,271756.00391039567,Significant Shortfall
C00017,V00069,Kim PLC,Raw Materials,2022-02-10,2024-02-10,0.183,Net 15,False,Expired,2.0,818165.16,1,2562.07,573.87859221056,0.000701421449,817591.2814077894,Significant Shortfall
C00018,V00451,Stewart-Bailey,IT Services,2023-02-04,2026-02-03,0.075,Net 15,False,Expired,3.0,1101381.51,8,243695.31,19759.07916943011,0.017940267736,1081622.43083057,Significant Shortfall
C00019,V00010,"Martinez, Nielsen and Miller",Logistics,2023-05-07,2027-05-06,0.056,Net 45,True,Active,4.0,1220681.8,3,37519.25,2225.7182241545,0.001823340222,1218456.0817758455,Significant Shortfall
C00020,V00010,"Martinez, Nielsen and Miller",Logistics,2023-11-19,2027-11-18,0.071,Net 60,True,Active,4.0,1012522.72,3,26859.49,2052.77050050485,0.002027382161,1010469.9494994951,Significant Shortfall
C00021,V00010,"Martinez, Nielsen and Miller",Logistics,2023-12-08,2025-12-07,0.098,Net 45,False,Expired,2.0,982732.06,3,100126.42,10878.480210629,0.011069629916,971853.579789371,Significant Shortfall
C00022,V00195,Sandoval PLC,IT Services,2022-05-08,2024-05-07,0.214,Net 60,False,Expired,2.0,676624.08,1,7643.76,2081.12549585256,0.003075748495,674542.9545041474,Significant Shortfall
C00023,V00195,Sandoval PLC,IT Services,2024-06-24,2027-06-24,0.052,Net 30,True,Active,3.0,338235.9,4,32795.49,1798.90874483229,0.005318503284,336436.9912551677,Significant Shortfall
C00024,V00407,"Jacobson, Singleton and King",Facilities,2022-08-02,2024-08-01,0.194,Net 15,False,Expired,2.0,67184.5,1,2622.28,631.16913129892,0.009394564688,66553.33086870109,Significant Shortfall
C00025,V00085,Pham-Shields,Logistics,2024-04-14,2026-04-14,0.227,Net 15,False,Expired,2.0,503220.36,4,107567.99,31588.53007303739,0.062772758386,471631.8299269626,Significant Shortfall
C00026,V00085,Pham-Shields,Logistics,2023-06-09,2026-06-08,0.159,Net 15,False,Expired,3.0,179099.97,5,67212.16,12707.17411980672,0.070950174474,166392.79588019327,Significant Shortfall
C00027,V00372,Carter Inc,Professional Services,2023-06-11,2027-06-10,0.18,Net 45,True,Active,4.0,1386834.4,9,234080.41,51383.50460559995,0.037050930238,1335450.8953944,Significant Shortfall
C00028,V00372,Carter Inc,Professional Services,2023-12-05,2026-12-04,0.065,Net 60,True,Expiring in 90 days,3.0,1273270.86,6,143109.14,9948.76380377338,0.007813548646,1263322.0961962265,Significant Shortfall
C00029,V00389,Moreno Group,Raw Materials,2024-01-16,2027-01-15,0.24,Net 45,True,Active,3.0,139074.6,11,237557.83,75018.26218028142,0.539410231489,64056.33781971858,Underperforming
C00030,V00496,Vega Ltd,Raw Materials,2022-08-04,2024-08-03,0.196,Net 30,False,Expired,2.0,556105.34,2,30532.53,7443.25359652035,0.013384610902,548662.0864034797,Significant Shortfall
C00031,V00496,Vega Ltd,Raw Materials,2024-03-09,2027-03-09,0.169,Net 15,True,Active,3.0,932057.76,3,58229.35,11842.0699516879,0.012705296238,920215.6900483121,Significant Shortfall
C00032,V00496,Vega Ltd,Raw Materials,2024-06-16,2026-06-16,0.136,Net 15,False,Expired,2.0,660562.48,2,27889.32,4389.98554419324,0.006645829391,656172.4944558068,Significant Shortfall
C00033,V00031,Harrell LLC,IT Services,2023-04-20,2025-04-19,0.116,Net 15,False,Expired,2.0,974910.46,5,292406.4,38370.0704546016,0.039357532849,936540.3895453984,Significant Shortfall
C00034,V00317,Jones-Ramos,Logistics,2023-01-12,2027-01-11,0.103,Net 45,True,Active,4.0,591785.24,7,65382.43,7507.68149686086,0.012686496704,584277.5585031392,Significant Shortfall
C00035,V00317,Jones-Ramos,Logistics,2022-09-08,2024-09-07,0.06,Net 15,False,Expired,2.0,580334.42,2,74391.08,4748.36679109996,0.008182121597,575586.0532089,Significant Shortfall
C00036,V00409,"Jackson, David and Moore",Logistics,2023-05-23,2026-05-22,0.051,Net 15,False,Expired,3.0,158813.7,7,177376.8,9532.367585904,0.060022325441,149281.332414096,Significant Shortfall
C00037,V00491,Williams LLC,Raw Materials,2023-06-24,2025-06-23,0.091,Net 30,False,Expired,2.0,645426.84,11,163796.33,16397.65239805963,0.025405904096,629029.1876019404,Significant Shortfall
C00038,V00492,"Mcknight, Michael and Jones",IT Services,2023-11-01,2025-10-31,0.112,Net 15,False,Expired,2.0,409518.0,7,262862.97,33153.88807495422,0.080958317034,376364.1119250458,Significant Shortfall
C00039,V00492,"Mcknight, Michael and Jones",IT Services,2022-06-09,2025-06-08,0.068,Net 45,False,Expired,3.0,829865.25,3,29619.28,2161.06333607144,0.002604113543,827704.1866639286,Significant Shortfall
C00040,V00281,Davis Inc,Marketing,2023-09-11,2026-09-10,0.124,Net 60,False,Expired,3.0,685289.64,17,130406.19,18459.32364444309,0.0269365281,666830.316355557,Significant Shortfall
C00041,V00357,Gilbert-Bullock,Travel,2023-05-22,2026-05-21,0.095,Net 30,False,Expired,3.0,424786.14,15,140022.59,14698.50396597384,0.034602127004,410087.63603402616,Significant Shortfall
C00042,V00357,Gilbert-Bullock,Travel,2022-02-12,2024-02-12,0.2,Net 30,False,Expired,2.0,674119.08,0,0.0,0.0,0.0,674119.08,Unused Contract
C00043,V00077,Martin-Ramos,Marketing,2022-11-10,2026-11-09,0.133,Net 45,True,Expiring in 60 days,4.0,1522655.48,8,57338.88,8795.92966073856,0.005776703776,1513859.5503392615,Significant Shortfall
C00044,V00077,Martin-Ramos,Marketing,2023-08-10,2027-08-09,0.062,Net 15,True,Active,4.0,798727.96,5,25571.89,1690.25285654309,0.002116180904,797037.7071434569,Significant Shortfall
C00045,V00462,Pearson and Sons,Professional Services,2022-12-14,2025-12-13,0.165,Net 60,False,Expired,3.0,376393.77,5,69163.42,13667.0230847818,0.036310439157,362726.7469152182,Significant Shortfall
C00046,V00462,Pearson and Sons,Professional Services,2023-04-23,2025-04-22,0.129,Net 30,False,Expired,2.0,856861.02,1,6393.24,946.87481236824,0.001105050633,855914.1451876317,Significant Shortfall
C00047,V00462,Pearson and Sons,Professional Services,2023-09-27,2027-09-26,0.164,Net 45,True,Active,4.0,1052962.08,4,68799.8,13496.6114967502,0.012817756454,1039465.4685032498,Significant Shortfall
C00048,V00498,"Long, Anderson and Irwin",Logistics,2023-01-07,2026-01-06,0.085,Net 45,False,Expired,3.0,1477020.96,3,47699.62,4431.1122469535,0.003000033423,1472589.8477530465,Significant Shortfall
C00049,V00212,"Kennedy, Mcintyre and James",MRO,2022-10-01,2024-09-30,0.059,Net 15,False,Expired,2.0,96801.16,1,2834.47,177.71916015432,0.001835919736,96623.44083984569,Significant Shortfall
C00050,V00212,"Kennedy, Mcintyre and James",MRO,2022-06-17,2024-06-16,0.249,Net 60,False,Expired,2.0,634681.68,0,0.0,0.0,0.0,634681.68,Unused Contract
C00051,V00212,"Kennedy, Mcintyre and James",MRO,2023-05-06,2026-05-05,0.232,Net 30,False,Expired,3.0,1373835.69,8,22697.59,6856.56363826747,0.004990817816,1366979.1263617326,Significant Shortfall
C00052,V00102,Torres and Sons,IT Services,2022-08-08,2026-08-07,0.129,Net 60,False,Expired,4.0,679208.52,7,149084.39,22080.23690777814,0.032508774931,657128.2830922218,Significant Shortfall
C00053,V00335,"Osborn, Gaines and Davis",IT Services,2022-07-25,2024-07-24,0.207,Net 15,False,Expired,2.0,630596.78,1,6790.84,1772.64045452032,0.002811052182,628824.1395454797,Significant Shortfall
C00054,V00335,"Osborn, Gaines and Davis",IT Services,2024-02-21,2026-02-20,0.133,Net 30,False,Expired,2.0,165235.74,9,435100.65,66745.54356034905,0.403941323834,98490.19643965094,Significant Shortfall
C00055,V00476,Green LLC,Raw Materials,2022-05-12,2026-05-11,0.206,Net 60,False,Expired,4.0,1580061.44,7,135189.21,35074.27868814324,0.022198047367,1544987.1613118567,Significant Shortfall
C00056,V00476,Green LLC,Raw Materials,2023-02-26,2026-02-25,0.103,Net 15,False,Expired,3.0,992537.88,5,53338.31,6124.68889670862,0.006170735667,986413.1911032913,Significant Shortfall
C00057,V00476,Green LLC,Raw Materials,2022-02-22,2024-02-22,0.084,Net 15,False,Expired,2.0,414914.48,0,0.0,0.0,0.0,414914.48,Unused Contract
C00058,V00337,Lee-Cooke,Raw Materials,2023-01-11,2026-01-10,0.188,Net 15,False,Expired,3.0,102457.74,13,174761.64,40462.05465187416,0.39491457309,61995.68534812584,Significant Shortfall
C00059,V00441,"Castillo, Warren and Griffith",IT Services,2023-01-15,2026-01-14,0.054,Net 60,False,Expired,3.0,1231557.3,5,73980.64,4222.99633172928,0.003428988916,1227334.3036682708,Significant Shortfall
C00060,V00441,"Castillo, Warren and Griffith",IT Services,2023-04-28,2026-04-27,0.106,Net 30,False,Expired,3.0,752680.23,6,82313.72,9759.79233205676,0.01296671806,742920.4376679432,Significant Shortfall
C00061,V00441,"Castillo, Warren and Griffith",IT Services,2022-12-20,2024-12-19,0.077,Net 15,False,Expired,2.0,974735.04,1,3722.36,310.53274242084,0.000318581696,974424.5072575791,Significant Shortfall
C00062,V00174,Torres-Oliver,Logistics,2022-08-21,2025-08-20,0.104,Net 30,False,Expired,3.0,642655.92,4,45284.8,5256.2714479792,0.008178982383,637399.6485520208,Significant Shortfall
C00063,V00174,Torres-Oliver,Logistics,2022-10-28,2024-10-27,0.138,Net 15,False,Expired,2.0,915164.14,1,19733.68,3159.22022363976,0.003452080436,912004.9197763603,Significant Shortfall
C00064,V00003,Johnson-Davis,Raw Materials,2022-03-14,2026-03-13,0.223,Net 45,False,Expired,4.0,1649194.08,6,64364.48,18472.68859708576,0.011201039842,1630721.3914029142,Significant Shortfall
C00065,V00003,Johnson-Davis,Raw Materials,2023-02-14,2025-02-13,0.112,Net 45,False,Expired,2.0,516659.36,2,48535.62,6121.60972360812,0.011848444444,510537.75027639186,Significant Shortfall
C00066,V00334,Li-Santiago,Capital Equipment,2022-12-05,2026-12-04,0.226,Net 45,True,Expiring in 90 days,4.0,96738.4,1,29239.28,8537.56754280192,0.088254173553,88200.83245719808,Significant Shortfall
C00067,V00334,Li-Santiago,Capital Equipment,2023-05-03,2025-05-02,0.217,Net 15,False,Expired,2.0,264500.46,1,17368.93,4813.61150400744,0.018198877628,259686.84849599257,Significant Shortfall
C00068,V00410,"Winters, Morgan and Bradshaw",Marketing,2024-01-26,2027-01-25,0.191,Net 15,True,Active,3.0,432746.91,10,71039.19,16771.92247462617,0.038756885577,415974.9875253738,Significant Shortfall
C00069,V00071,"Evans, Alvarado and Mcmillan",Marketing,2022-02-16,2024-02-16,0.186,Net 15,False,Expired,2.0,257099.34,1,4991.9,1140.6552850451,0.00443663249,255958.6847149549,Significant Shortfall
C00070,V00071,"Evans, Alvarado and Mcmillan",Marketing,2022-12-10,2026-12-09,0.139,Net 15,True,Expiring in 90 days,4.0,1922619.96,19,63913.99,10318.28643360214,0.005366784205,1912301.6735663977,Significant Shortfall
C00071,V00210,Kane-Pollard,Professional Services,2023-07-06,2026-07-05,0.119,Net 60,False,Expired,3.0,1261351.05,15,401976.22,54296.4475055116,0.043046261789,1207054.6024944885,Significant Shortfall
C00072,V00210,Kane-Pollard,Professional Services,2022-02-06,2024-02-06,0.107,Net 45,False,Expired,2.0,398834.36,0,0.0,0.0,0.0,398834.36,Unused Contract
C00073,V00064,Baker and Sons,Raw Materials,2022-03-08,2024-03-07,0.221,Net 45,False,Expired,2.0,654432.3,0,0.0,0.0,0.0,654432.3,Unused Contract
C00074,V00064,Baker and Sons,Raw Materials,2024-01-04,2027-01-03,0.18,Net 30,True,Active,3.0,784523.4,5,64203.2,14093.385358024,0.017964263855,770430.014641976,Significant Shortfall
C00075,V00064,Baker and Sons,Raw Materials,2023-06-20,2026-06-19,0.232,Net 30,False,Expired,3.0,981636.18,5,53454.78,16147.79810718174,0.016449880756,965488.3818928183,Significant Shortfall
C00076,V00385,"Owen, Shelton and Cisneros",Professional Services,2023-09-04,2027-09-03,0.211,Net 60,True,Active,4.0,638701.0,13,675174.51,180559.97673223473,0.282698753771,458141.0232677653,Significant Shortfall
C00077,V00094,Graham-Joyce,Logistics,2022-07-17,2025-07-16,0.22,Net 45,False,Expired,3.0,704727.09,1,7672.17,2163.94538422194,0.003070614731,702563.1446157781,Significant Shortfall
C00078,V00094,Graham-Joyce,Logistics,2022-07-10,2025-07-09,0.11,Net 15,False,Expired,3.0,795337.71,2,11557.63,1428.47112801078,0.001796056078,793909.2388719892,Significant Shortfall
C00079,V00486,"Leach, Harris and Herrera",IT Services,2024-04-06,2026-04-06,0.152,Net 60,False,Expired,2.0,669108.34,5,106641.25,19114.94103572375,0.028567781767,649993.3989642763,Significant Shortfall
C00080,V00486,"Leach, Harris and Herrera",IT Services,2022-10-04,2026-10-03,0.179,Net 60,True,Expiring in 30 days,4.0,1233738.2,5,152978.14,33353.33387521758,0.027034369103,1200384.8661247825,Significant Shortfall
C00081,V00186,"Wright, Davis and Hayden",Raw Materials,2024-04-08,2027-04-08,0.063,Net 60,True,Active,3.0,1482890.61,6,90795.72,6104.72822772348,0.004116775834,1476785.8817722765,Significant Shortfall
C00082,V00186,"Wright, Davis and Hayden",Raw Materials,2022-07-12,2025-07-11,0.102,Net 60,False,Expired,3.0,1075307.85,7,79883.76,9073.65647288496,0.008438194209,1066234.193527115,Significant Shortfall
C00083,V00034,Koch-Decker,Professional Services,2022-06-23,2026-06-22,0.203,Net 15,False,Expired,4.0,1803386.6,15,259914.66,66201.60090301104,0.036709600095,1737184.999096989,Significant Shortfall
C00084,V00078,"Smith, Jones and Ware",Professional Services,2023-11-07,2025-11-06,0.194,Net 60,False,Expired,2.0,662292.56,7,199426.34,48000.88082734226,0.072476853473,614291.6791726578,Significant Shortfall
C00085,V00078,"Smith, Jones and Ware",Professional Services,2023-11-12,2026-11-11,0.231,Net 30,True,Expiring in 60 days,3.0,624760.38,6,84793.41,25471.10235072897,0.040769394421,599289.2776492711,Significant Shortfall
C00086,V00001,"Rodriguez, Figueroa and Sanchez",Logistics,2023-11-19,2027-11-18,0.213,Net 45,True,Active,4.0,712607.4,5,172619.26,46719.0626590578,0.065560731841,665888.3373409422,Significant Shortfall
C00087,V00001,"Rodriguez, Figueroa and Sanchez",Logistics,2024-04-13,2028-04-12,0.178,Net 60,True,Active,4.0,972441.0,3,35066.86,7593.55361950232,0.007808755101,964847.4463804977,Significant Shortfall
C00088,V00012,Stanley LLC,IT Services,2023-09-26,2025-09-25,0.218,Net 45,False,Expired,2.0,878964.88,3,69547.3,19387.8662740267,0.022057611988,859577.0137259733,Significant Shortfall
C00089,V00012,Stanley LLC,IT Services,2023-10-04,2026-10-03,0.07,Net 60,True,Expiring in 30 days,3.0,218077.89,6,224125.93,16869.69361012481,0.077356276742,201208.1963898752,Significant Shortfall
C00090,V00416,Washington-Harris,Logistics,2022-12-28,2026-12-27,0.203,Net 60,True,Active,4.0,398813.96,6,92162.18,23474.18132825392,0.058859979044,375339.7786717461,Significant Shortfall
C00091,V00416,Washington-Harris,Logistics,2022-08-07,2024-08-06,0.094,Net 60,False,Expired,2.0,238861.36,3,48195.17,5000.38185797403,0.020934243437,233860.97814202597,Significant Shortfall
C00092,V00023,Robinson-Bright,Capital Equipment,2022-10-20,2025-10-19,0.124,Net 15,False,Expired,3.0,890788.92,3,223684.81,31663.14652805791,0.035545061032,859125.773471942,Significant Shortfall
C00093,V00023,Robinson-Bright,Capital Equipment,2022-09-15,2024-09-14,0.144,Net 30,False,Expired,2.0,869065.5,1,93683.7,15759.8747602263,0.01813427729,853305.6252397737,Significant Shortfall
C00094,V00073,Campbell-Clark,Logistics,2023-03-01,2025-02-28,0.15,Net 15,False,Expired,2.0,870147.8,0,0.0,0.0,0.0,870147.8,Unused Contract
C00095,V00073,Campbell-Clark,Logistics,2023-08-14,2027-08-13,0.11,Net 45,True,Active,4.0,145961.48,6,116796.74,14435.55217945044,0.098899738338,131525.92782054955,Significant Shortfall
C00096,V00183,"Morse, Gonzales and Harrison",Capital Equipment,2022-10-08,2024-10-07,0.119,Net 15,False,Expired,2.0,987447.76,2,137329.36,18549.5957601808,0.018785394541,968898.1642398192,Significant Shortfall
C00097,V00132,Williams Group,IT Services,2022-11-24,2024-11-23,0.206,Net 45,False,Expired,2.0,497829.22,1,33126.89,8594.63393514516,0.017264221524,489234.5860648548,Significant Shortfall
C00098,V00411,Miller Ltd,Raw Materials,2024-03-15,2026-03-15,0.051,Net 45,False,Expired,2.0,288057.3,12,219116.32,11775.4819475296,0.040878956886,276281.8180524704,Significant Shortfall
C00099,V00194,Cordova Group,IT Services,2023-03-01,2025-02-28,0.148,Net 30,False,Expired,2.0,768297.78,2,22851.63,3969.5319675396,0.005166658125,764328.2480324605,Significant Shortfall
C00100,V00194,Cordova Group,IT Services,2024-01-02,2026-01-01,0.173,Net 15,False,Expired,2.0,640817.78,5,78884.82,16501.90311088326,0.025751319058,624315.8768891167,Significant Shortfall
C00101,V00056,Horton-Cross,IT Services,2023-10-21,2026-10-20,0.127,Net 45,True,Expiring in 60 days,3.0,85456.23,5,95586.84,13905.53110730448,0.162721092509,71550.69889269552,Significant Shortfall
C00102,V00056,Horton-Cross,IT Services,2023-11-25,2026-11-24,0.24,Net 45,True,Expiring in 90 days,3.0,1341249.39,5,101112.01,31930.10845298274,0.023806242665,1309319.2815470172,Significant Shortfall
C00103,V00149,"Vargas, Morris and Sanchez",Capital Equipment,2022-10-19,2024-10-18,0.175,Net 60,False,Expired,2.0,263846.66,3,68516.99,14533.90696139188,0.055084672898,249312.75303860812,Significant Shortfall
C00104,V00019,Clark PLC,Professional Services,2022-07-05,2024-07-04,0.127,Net 45,False,Expired,2.0,596897.28,6,387015.03,56301.15545884116,0.094323022311,540596.1245411588,Significant Shortfall
C00105,V00205,Shields LLC,Raw Materials,2022-10-13,2024-10-12,0.11,Net 60,False,Expired,2.0,305011.24,1,2752.74,340.22629318644,0.001115454936,304671.01370681357,Significant Shortfall
C00106,V00079,"Johnson, Wood and Tran",MRO,2022-02-11,2024-02-11,0.119,Net 60,False,Expired,2.0,903356.1,1,1314.37,177.5369242186,0.000196530387,903178.5630757815,Significant Shortfall
C00107,V00079,"Johnson, Wood and Tran",MRO,2024-02-27,2026-02-26,0.083,Net 15,False,Expired,2.0,908756.36,13,54539.47,4936.50601449327,0.005432155671,903819.8539855067,Significant Shortfall
C00108,V00495,West-Stark,Marketing,2023-11-07,2025-11-06,0.195,Net 30,False,Expired,2.0,148581.66,12,40987.84,9928.731434936,0.066823398224,138652.928565064,Significant Shortfall
C00109,V00263,"Clark, Robinson and Kane",IT Services,2022-01-15,2024-01-15,0.075,Net 30,False,Expired,2.0,716887.88,0,0.0,0.0,0.0,716887.88,Unused Contract
C00110,V00263,"Clark, Robinson and Kane",IT Services,2023-05-20,2026-05-19,0.225,Net 30,False,Expired,3.0,406010.1,5,100661.25,29224.23390668625,0.071979081079,376785.8660933137,Significant Shortfall
C00111,V00324,Garcia-Nolan,Raw Materials,2023-06-17,2025-06-16,0.182,Net 30,False,Expired,2.0,660496.26,3,76883.08,17106.01539061504,0.025898731646,643390.2446093849,Significant Shortfall
C00112,V00324,Garcia-Nolan,Raw Materials,2023-10-18,2025-10-17,0.188,Net 15,False,Expired,2.0,428440.06,5,88424.67,20472.70688300898,0.047784296555,407967.353116991,Significant Shortfall
C00113,V00484,Fox PLC,IT Services,2022-09-26,2025-09-25,0.145,Net 30,False,Expired,3.0,255096.84,4,146039.86,24766.99376102998,0.097088594908,230329.84623897003,Significant Shortfall
C00114,V00080,Parker Inc,IT Services,2022-06-28,2024-06-27,0.182,Net 45,False,Expired,2.0,284577.6,0,0.0,0.0,0.0,284577.6,Unused Contract
C00115,V00040,"Santos, Kim and Holmes",Facilities,2022-07-29,2024-07-28,0.152,Net 60,False,Expired,2.0,625344.0,1,902.82,161.82622639806,0.00025877953,625182.1737736019,Significant Shortfall
C00116,V00040,"Santos, Kim and Holmes",Facilities,2023-06-04,2025-06-03,0.207,Net 45,False,Expired,2.0,507784.28,5,36554.92,9542.07874191616,0.018791599342,498242.20125808386,Significant Shortfall
C00117,V00452,"Hill, Martinez and Rhodes",Travel,2022-08-12,2026-08-11,0.245,Net 15,False,Expired,4.0,741526.8,10,34532.84,11206.02091823324,0.01511209159,730320.7790817667,Significant Shortfall
C00118,V00452,"Hill, Martinez and Rhodes",Travel,2023-05-17,2026-05-16,0.082,Net 45,False,Expired,3.0,835763.97,9,34296.44,3063.51643605636,0.003665528242,832700.4535639436,Significant Shortfall
C00119,V00047,Owens-Daniel,Logistics,2024-05-09,2027-05-09,0.116,Net 30,True,Active,3.0,34024.86,4,53121.0,6970.628934999,0.204868702913,27054.231065001,Significant Shortfall
C00120,V00047,Owens-Daniel,Logistics,2022-11-04,2024-11-03,0.217,Net 45,False,Expired,2.0,675641.5,2,17383.16,4817.55519493728,0.007130342341,670823.9448050627,Significant Shortfall
C00121,V00239,Anderson PLC,Professional Services,2023-11-27,2027-11-26,0.065,Net 60,True,Active,4.0,1458209.44,3,101591.08,7062.48154024436,0.004843255946,1451146.9584597556,Significant Shortfall
C00122,V00239,Anderson PLC,Professional Services,2023-03-22,2025-03-21,0.141,Net 60,False,Expired,2.0,977745.14,4,178027.71,29222.24345204934,0.029887382976,948522.8965479507,Significant Shortfall
C00123,V00239,Anderson PLC,Professional Services,2023-10-22,2026-10-21,0.06,Net 30,True,Expiring in 60 days,3.0,1225372.26,8,102753.09,6558.70784829183,0.005352420699,1218813.5521517082,Significant Shortfall
C00124,V00392,Padilla-Lewis,Raw Materials,2023-11-05,2026-11-04,0.21,Net 30,True,Expiring in 60 days,3.0,489679.44,6,136443.78,36269.8655955273,0.074068589842,453409.5744044727,Significant Shortfall
C00125,V00392,Padilla-Lewis,Raw Materials,2023-02-24,2025-02-23,0.22,Net 30,False,Expired,2.0,892486.18,0,0.0,0.0,0.0,892486.18,Unused Contract
C00126,V00392,Padilla-Lewis,Raw Materials,2023-10-30,2025-10-29,0.183,Net 60,False,Expired,2.0,187102.04,3,316369.91,70863.76194584128,0.378743930028,116238.27805415873,Significant Shortfall
C00127,V00353,Shaw-Young,Professional Services,2022-11-17,2026-11-16,0.104,Net 60,True,Expiring in 90 days,4.0,1476813.16,7,280782.78,32590.85851319262,0.022068369511,1444222.3014868074,Significant Shortfall
C00128,V00353,Shaw-Young,Professional Services,2022-05-08,2025-05-07,0.087,Net 15,False,Expired,3.0,619142.94,1,20745.41,1976.83534674332,0.00319285777,617166.1046532567,Significant Shortfall
C00129,V00353,Shaw-Young,Professional Services,2023-05-13,2026-05-12,0.217,Net 15,False,Expired,3.0,1044156.57,5,76554.75,21216.322783638,0.020319100979,1022940.247216362,Significant Shortfall
C00130,V00342,Diaz-Ball,MRO,2022-06-17,2024-06-16,0.073,Net 30,False,Expired,2.0,702246.48,1,2673.69,210.54948336588,0.000299822768,702035.9305166341,Significant Shortfall
C00131,V00342,Diaz-Ball,MRO,2024-03-21,2026-03-21,0.071,Net 15,False,Expired,2.0,913002.22,11,67645.19,5169.86921691535,0.005662493588,907832.3507830846,Significant Shortfall
C00132,V00278,Gutierrez Group,Professional Services,2024-06-21,2027-06-21,0.086,Net 60,True,Active,3.0,588233.64,4,90563.64,8521.30532077056,0.014486259781,579712.3346792294,Significant Shortfall
C00133,V00278,Gutierrez Group,Professional Services,2024-05-22,2028-05-21,0.056,Net 45,True,Active,4.0,1381549.72,2,43482.04,2579.44305526936,0.001867064947,1378970.2769447307,Significant Shortfall
C00134,V00278,Gutierrez Group,Professional Services,2023-04-23,2026-04-22,0.234,Net 15,False,Expired,3.0,196018.08,7,185646.06,56711.72073071574,0.289318825747,139306.35926928426,Significant Shortfall
C00135,V00291,Bell-White,Travel,2024-02-04,2026-02-03,0.102,Net 45,False,Expired,2.0,327953.18,13,41422.4,4704.9942051104,0.014346542409,323248.1857948896,Significant Shortfall
C00136,V00291,Bell-White,Travel,2022-03-09,2025-03-08,0.154,Net 30,False,Expired,3.0,1041715.23,1,469.68,85.49730499896,8.2073586e-05,1041629.7326950011,Significant Shortfall
